Format, Traqmate Trackvision, V2
Track, Portland
Vehicle, CORRADO
Driver, DJ
Starting Date, 18/08/2019
Starting Time, 16:45:16.000
Sample Rate (samps/sec), 40
Duration (secs),   2449.500
Analogs, Point Name, Units, Low Value, High Value, AlarmValue
A0 Disabled
A1 Disabled
A2 Disabled
A3 Disabled
Digitals, Point Name, On Name, OffName
D4
D5
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap
0,79203500,2067,887.600000,45.594247,-122.691840,-753.506115,587.219208,6,-8.000000,-40.000000,16.000000,0.000000,99.393457,157.591720,-0.164875,0.180505,5638,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203500,2067,887.625000,45.594251,-122.691853,-752.109879,583.852849,6,-8.000000,-40.000000,16.000000,0.000000,99.483866,157.591720,-0.080645,0.101083,5638,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203500,2067,887.650000,45.594254,-122.691866,-750.721646,580.479597,6,-8.000000,-40.000000,16.000000,0.000000,99.528088,157.591720,-0.134409,0.101083,5651,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203500,2067,887.675000,45.594258,-122.691879,-749.334680,577.104071,6,-8.000000,-40.000000,16.000000,0.000000,99.601791,157.591720,-0.118280,0.194946,5657,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203500,2067,887.700000,45.594262,-122.691892,-747.941593,573.728142,6,-8.000000,-40.000000,16.000000,0.000000,99.666650,157.591720,-0.114695,0.063177,5651,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203500,2067,887.725000,45.594266,-122.691906,-746.561042,570.344500,6,-8.000000,-40.000000,16.000000,0.000000,99.729544,157.591720,-0.114695,0.063177,5657,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
1,79203750,2067,887.750000,45.594270,-122.691919,-745.141683,566.888034,6,-8.000000,-40.000000,16.000000,0.000000,99.651304,157.397690,-0.093190,0.119134,5663,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203750,2067,887.775000,45.594274,-122.691932,-743.728537,563.518485,6,-8.000000,-40.000000,16.000000,0.000000,99.702405,157.397690,-0.148746,0.101083,5663,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203750,2067,887.800000,45.594277,-122.691946,-742.318221,560.145719,6,-8.000000,-40.000000,16.000000,0.000000,99.783970,157.397690,-0.086022,0.144404,5669,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203750,2067,887.825000,45.594281,-122.691959,-740.905419,556.770751,6,-8.000000,-40.000000,16.000000,0.000000,99.831140,157.397690,-0.089606,0.117329,5682,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203750,2067,887.850000,45.594285,-122.691972,-739.496644,553.392226,6,-8.000000,-40.000000,16.000000,0.000000,99.880276,157.397690,-0.150538,0.146209,5682,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203750,2067,887.875000,45.594289,-122.691985,-738.087214,550.012022,6,-8.000000,-40.000000,16.000000,0.000000,99.962823,157.397690,-0.091398,0.169675,5688,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203750,2067,887.900000,45.594293,-122.691999,-736.677602,546.628615,6,-8.000000,-40.000000,16.000000,0.000000,100.012942,157.397690,-0.136201,0.099278,5695,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203750,2067,887.925000,45.594297,-122.692012,-735.275672,543.240029,6,-8.000000,-40.000000,16.000000,0.000000,100.087628,157.397690,-0.137993,0.182310,5701,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203750,2067,887.950000,45.594301,-122.692025,-733.868376,539.850702,6,-8.000000,-40.000000,16.000000,0.000000,100.163296,157.397690,-0.094982,0.176895,5701,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203750,2067,887.975000,45.594304,-122.692038,-732.463817,536.457238,6,-8.000000,-40.000000,16.000000,0.000000,100.215380,157.397690,-0.094982,0.176895,5707,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
1,79204000,2067,888.000000,45.594308,-122.692052,-730.998655,532.915451,6,-10.000000,-41.000000,16.000000,0.000000,100.267464,157.944873,-0.103943,0.211191,5714,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
